datetime,precipitation_utsunomiya,precipitation_chiba,precipitation_tokyo,temperature_utsunomiya,temperature_chiba,temperature_tokyo,winddirection_utsunomiya,winddirection_chiba,winddirection_tokyo,windspeed_utsunomiya,windspeed_chiba,windspeed_tokyo,pollen_utsunomiya,pollen_chiba,pollen_tokyo
2017020318,0.0,0.0,0.0,6.7,9.8,7.1,1,13,14,4.3,2.4,1.5,20.0,49.0,20.0
2017020319,0.0,0.0,0.0,5.3,9.0,6.5,2,13,15,1.8,6.1,1.7,8.0,45.0,8.0
2017020320,0.0,0.0,0.0,3.9,8.6,5.9,9,14,16,1.9,4.9,1.2,16.0,4.0,4.0
2017020321,0.0,0.0,0.0,2.7,7.6,5.5,12,15,15,1.1,2.4,1.3,8.0,16.0,0.0
2017020322,0.0,0.0,0.0,1.5,6.9,5.3,13,14,15,2.8,2.5,1.4,12.0,8.0,0.0
2017020323,0.0,0.0,0.0,1.2,7.1,4.7,14,14,13,2.2,6.4,1.2,16.0,0.0,4.0
2017020324,0.0,0.0,0.0,0.0,6.5,5.0,14,14,13,2.1,5.4,1.3,4.0,0.0,0.0
2017020401,0.0,0.0,0.0,-0.5,6.0,2.7,14,14,13,1.5,4.5,1.1,8.0,0.0,8.0
2017020402,0.0,0.0,0.0,-1.0,6.2,3.2,15,14,14,2.7,4.5,1.0,0.0,8.0,4.0
2017020403,0.0,0.0,0.0,-0.9,6.0,2.1,15,15,12,2.7,5.0,0.9,0.0,12.0,4.0
2017020404,0.0,0.0,0.0,-1.2,5.9,0.4,16,15,13,2.7,5.5,0.6,8.0,12.0,0.0
2017020405,0.0,0.0,0.0,-2.1,5.8,0.4,16,15,12,2.4,4.0,1.3,12.0,12.0,0.0
2017020406,0.0,0.0,0.0,-2.0,5.2,0.0,15,15,12,2.5,3.7,1.5,12.0,0.0,4.0
2017020407,0.0,0.0,0.0,-1.9,4.1,0.6,16,1,13,3.2,2.4,1.2,4.0,12.0,0.0
2017020408,0.0,0.0,0.0,0.1,4.9,5.8,2,1,14,0.6,2.7,1.7,16.0,20.0,0.0
2017020409,0.0,0.0,0.0,3.7,6.8,7.8,9,15,15,0.9,1.8,2.0,16.0,0.0,4.0
2017020410,0.0,0.0,0.0,5.9,7.7,9.5,10,15,14,1.1,2.2,2.1,0.0,4.0,4.0
2017020411,0.0,0.0,0.0,7.9,10.1,10.6,10,15,1,2.0,2.0,1.8,225.0,16.0,4.0
2017020412,0.0,0.0,0.0,8.9,11.3,10.8,8,14,3,2.2,2.2,1.5,53.0,24.0,4.0
2017020413,0.0,0.0,0.0,9.4,12.6,12.2,10,13,5,1.1,2.5,1.5,8.0,41.0,0.0
2017020414,0.0,0.0,0.0,11.3,12.7,12.4,7,10,2,1.8,2.3,2.1,139.0,41.0,12.0
2017020415,0.0,0.0,0.0,11.1,12.4,13.1,9,11,7,1.5,2.8,1.9,41.0,16.0,20.0
2017020416,0.0,0.0,0.0,11.1,12.2,12.4,7,11,7,2.1,2.9,3.0,41.0,8.0,4.0
2017020417,0.0,0.0,0.0,10.2,11.3,10.6,7,11,7,1.8,2.4,2.8,8.0,20.0,32.0
2017020418,0.0,0.0,0.0,7.9,10.1,9.2,6,6,7,1.7,4.2,2.2,4.0,8.0,24.0
2017020419,0.0,0.0,0.0,6.8,9.6,8.5,2,7,6,2.8,3.6,1.2,20.0,0.0,32.0
2017020420,0.0,0.0,0.0,6.0,9.2,7.0,3,7,6,2.5,3.1,1.1,8.0,12.0,24.0
2017020421,0.0,0.0,0.0,4.2,8.7,7.2,16,5,12,3.3,1.2,1.0,8.0,4.0,4.0
2017020422,0.0,0.0,0.0,3.1,8.9,5.8,16,6,13,3.6,2.8,0.9,0.0,0.0,8.0
2017020423,0.0,0.0,0.0,3.1,8.6,4.3,16,6,0,4.4,2.7,0.1,20.0,0.0,8.0
2017020424,0.0,0.0,0.0,3.1,8.6,4.4,16,6,13,5.0,3.7,0.6,4.0,4.0,16.0
2017020501,0.0,0.0,0.0,2.5,8.5,5.1,16,5,14,4.3,2.5,1.2,8.0,0.0,8.0
2017020502,0.0,0.0,0.0,1.0,8.3,4.8,15,15,13,2.2,3.0,1.1,28.0,0.0,4.0
2017020503,0.0,0.0,0.0,0.7,6.8,4.1,16,15,14,3.5,4.1,1.1,4.0,4.0,0.0
2017020504,0.0,0.0,0.0,0.9,6.5,2.6,1,16,15,3.5,1.5,0.5,16.0,8.0,12.0
2017020505,0.0,0.0,0.0,0.6,5.3,1.9,16,1,0,3.9,1.3,0.1,12.0,8.0,8.0
2017020506,0.0,0.0,0.0,1.9,4.8,2.4,15,16,12,4.5,1.0,0.6,20.0,28.0,12.0
2017020507,0.0,0.0,0.0,3.1,4.9,1.8,1,15,14,3.4,1.6,0.4,16.0,16.0,8.0
2017020508,0.0,0.0,0.0,4.2,5.1,3.5,16,15,15,3.5,1.6,0.9,16.0,4.0,4.0
2017020509,0.0,0.0,0.0,6.6,6.2,5.0,16,1,14,2.1,1.6,1.1,12.0,8.0,8.0
2017020510,0.0,0.0,0.0,8.5,7.8,8.6,2,10,1,3.0,1.3,1.0,16.0,4.0,24.0
2017020511,0.0,0.0,0.0,9.3,7.7,8.6,2,12,16,0.8,2.7,1.0,24.0,4.0,16.0
2017020512,0.0,0.0,0.0,9.5,8.2,9.1,10,12,11,1.4,1.5,0.3,32.0,4.0,12.0
2017020513,0.0,0.0,0.0,8.8,8.0,8.7,10,12,15,3.4,2.8,0.6,8.0,0.0,36.0
2017020514,0.0,0.0,0.0,6.6,7.9,9.1,12,13,3,1.6,1.7,0.7,12.0,12.0,28.0
2017020515,0.0,0.0,0.0,7.0,8.7,9.3,10,14,2,0.4,0.5,0.9,12.0,8.0,28.0
2017020516,0.0,0.0,0.0,6.5,8.7,8.8,7,13,3,1.2,1.4,0.9,4.0,8.0,32.0
2017020517,0.5,0.0,0.0,6.2,8.0,8.4,6,10,6,1.4,0.7,1.4,0.0,36.0,8.0
2017020518,0.0,0.0,0.0,5.5,8.3,7.5,7,6,9,1.4,4.0,1.3,0.0,0.0,24.0
2017020519,0.0,0.0,0.0,5.4,8.5,7.3,13,15,7,1.9,2.1,1.7,0.0,0.0,4.0
2017020520,0.0,0.0,0.0,5.4,8.0,7.5,15,14,15,1.1,6.0,0.5,0.0,0.0,12.0
2017020521,0.0,0.0,0.0,5.1,8.3,7.0,13,14,1,1.2,2.4,1.0,8.0,0.0,8.0
2017020522,0.0,0.0,0.0,4.1,8.0,6.9,6,1,3,0.9,1.2,0.5,0.0,0.0,12.0
2017020523,0.0,0.0,0.0,3.3,8.0,6.7,13,3,4,2.1,0.9,0.5,0.0,0.0,4.0
2017020524,0.0,0.0,0.0,2.7,7.7,6.9,1,1,15,2.2,1.1,0.6,8.0,0.0,0.0
2017020601,0.0,0.5,0.0,2.5,7.0,6.5,2,15,14,1.8,1.0,0.8,4.0,0.0,4.0
2017020602,0.0,0.0,0.0,2.5,7.0,6.2,1,1,14,2.2,2.1,1.4,0.0,8.0,4.0
2017020603,0.0,0.0,0.0,2.2,6.9,5.7,2,1,14,3.5,1.3,0.9,0.0,24.0,4.0
2017020604,0.0,0.0,0.0,2.7,6.9,5.4,1,16,13,4.3,1.5,0.5,0.0,4.0,4.0
2017020605,0.0,0.0,0.0,2.3,6.5,4.3,13,15,0,4.5,2.5,0.1,0.0,0.0,4.0
2017020606,0.0,0.0,0.0,2.3,6.2,3.2,12,14,13,2.7,2.0,0.8,0.0,4.0,4.0
2017020607,0.0,0.0,0.0,2.2,6.6,3.9,4,13,14,2.1,1.4,1.2,0.0,0.0,8.0
2017020608,0.0,0.0,0.0,3.6,8.5,5.7,4,12,10,3.0,2.9,1.1,0.0,8.0,4.0
2017020609,0.0,0.0,0.0,6.1,10.6,9.4,5,13,6,1.1,3.4,0.8,0.0,4.0,12.0
2017020610,0.0,0.0,0.0,8.3,11.9,12.9,1,10,6,2.1,2.5,1.9,57.0,4.0,28.0
2017020611,0.0,0.0,0.0,12.1,12.7,13.6,4,11,6,3.1,3.6,3.3,20.0,8.0,12.0
2017020612,0.0,0.0,0.0,14.0,14.2,12.8,1,12,15,1.9,4.0,3.4,483.0,8.0,49.0
2017020613,0.0,0.0,0.0,13.5,14.2,13.2,13,14,16,8.4,6.5,2.0,36.0,12.0,8.0
2017020614,0.0,0.0,0.0,12.9,13.5,12.9,13,14,1,8.0,7.5,2.6,45.0,32.0,8.0
2017020615,0.0,0.0,0.0,11.7,13.1,12.6,13,14,16,7.1,7.6,2.6,8.0,8.0,36.0
2017020616,0.0,0.0,0.0,9.9,12.6,11.5,13,14,14,8.5,9.2,4.1,8.0,36.0,24.0
2017020617,0.0,0.0,0.0,7.7,11.2,9.7,14,14,15,4.9,8.6,2.0,0.0,61.0,24.0
2017020618,0.0,0.0,0.0,5.5,9.8,8.1,16,14,15,5.0,10.4,2.0,4.0,49.0,32.0
2017020619,0.0,0.0,0.0,4.2,9.0,7.8,14,14,16,3.5,8.3,1.3,0.0,24.0,4.0
2017020620,0.0,0.0,0.0,4.2,8.3,7.4,4,14,14,2.3,8.2,2.8,0.0,8.0,8.0
2017020621,0.0,0.0,0.0,4.7,7.8,7.0,6,13,14,6.1,7.1,1.7,4.0,8.0,20.0
2017020622,0.0,0.0,0.0,3.9,7.5,6.4,7,13,14,4.2,8.7,2.6,4.0,0.0,12.0
2017020623,0.0,0.0,0.0,3.3,6.9,6.1,7,13,14,4.1,8.8,2.8,12.0,0.0,0.0
2017020624,0.0,0.0,0.0,2.8,6.4,5.6,5,13,14,3.1,9.7,2.6,0.0,8.0,0.0
2017020701,0.0,0.0,0.0,2.2,6.1,4.9,4,13,15,1.2,8.8,1.1,4.0,4.0,4.0
2017020702,0.0,0.0,0.0,1.4,5.9,5.4,5,13,15,2.4,7.6,2.8,0.0,0.0,0.0
2017020703,0.0,0.0,0.0,1.1,5.8,5.2,9,13,15,2.3,6.2,3.4,12.0,0.0,0.0
2017020704,0.0,0.0,0.0,0.9,5.3,4.7,6,13,15,4.0,6.3,2.3,8.0,0.0,8.0
2017020705,0.0,0.0,0.0,0.0,4.9,4.6,4,14,14,1.6,7.3,2.6,0.0,8.0,4.0
2017020706,0.0,0.0,0.0,-0.6,4.6,4.1,7,13,15,3.5,6.5,2.3,4.0,0.0,0.0
2017020707,0.0,0.0,0.0,0.1,4.8,4.0,7,13,15,3.3,6.8,2.7,4.0,8.0,12.0
2017020708,0.0,0.0,0.0,2.5,5.5,5.3,9,14,15,1.0,6.7,2.4,4.0,16.0,8.0
2017020709,0.0,0.0,0.0,5.1,6.8,6.5,4,14,14,2.5,7.2,2.7,45.0,4.0,53.0
2017020710,0.0,0.0,0.0,5.8,7.3,7.7,5,13,15,2.1,12.7,3.9,20.0,65.0,41.0
2017020711,0.0,0.0,0.0,7.3,7.9,8.6,14,14,15,2.3,10.0,3.2,24.0,77.0,32.0
2017020712,0.0,0.0,0.0,7.8,8.5,9.0,13,14,15,8.1,12.1,4.1,16.0,98.0,82.0
2017020713,0.0,0.0,0.0,7.5,9.1,9.6,14,14,14,11.7,9.4,4.2,20.0,122.0,86.0
2017020714,0.0,0.0,0.0,7.0,9.6,9.2,14,14,14,12.4,8.7,4.9,28.0,94.0,164.0
2017020715,0.0,0.0,0.0,6.4,9.3,9.0,13,14,15,8.2,9.1,4.0,20.0,94.0,86.0
2017020716,0.0,0.0,0.0,4.6,8.2,7.5,13,14,16,9.9,8.7,2.6,8.0,90.0,12.0
2017020717,0.0,0.0,0.0,2.9,6.7,5.9,15,14,16,6.2,7.7,1.9,4.0,61.0,32.0
2017020718,0.0,0.0,0.0,2.1,5.8,5.0,15,14,1,4.7,9.7,2.0,0.0,69.0,32.0
2017020719,0.0,0.0,0.0,1.9,4.9,4.0,14,14,1,2.4,8.7,2.6,4.0,49.0,20.0
2017020720,0.0,0.0,0.0,1.6,4.5,3.7,6,15,1,2.7,5.3,3.5,8.0,8.0,4.0
2017020721,0.0,0.0,0.0,1.0,4.2,3.8,8,15,16,3.1,7.3,1.4,0.0,0.0,4.0
2017020722,0.0,0.0,0.0,0.1,4.2,3.4,6,14,16,3.5,7.9,1.6,16.0,0.0,0.0
2017020723,0.0,0.0,0.0,-0.4,4.1,3.4,7,14,15,2.3,7.0,1.7,28.0,16.0,0.0
2017020724,0.0,0.0,0.0,-0.5,4.0,3.2,6,14,15,2.1,6.4,1.9,0.0,8.0,12.0
2017020801,0.0,0.0,0.0,-1.1,3.9,2.9,5,14,14,3.2,7.9,1.3,8.0,8.0,12.0
2017020802,0.0,0.0,0.0,-1.9,3.8,1.7,3,14,1,1.0,6.8,1.1,4.0,4.0,4.0
2017020803,0.0,0.0,0.0,-2.4,3.7,2.6,7,14,13,1.4,5.8,0.9,0.0,0.0,4.0
2017020804,0.0,0.0,0.0,-2.4,3.8,2.8,3,14,14,1.2,5.3,1.7,8.0,4.0,8.0
2017020805,0.0,0.0,0.0,-2.6,4.0,2.3,4,14,15,1.3,6.8,0.8,4.0,0.0,0.0
2017020806,0.0,0.0,0.0,-3.0,4.3,2.2,2,14,15,1.1,6.0,0.9,0.0,4.0,0.0
2017020807,0.0,0.0,0.0,-2.8,4.2,1.9,16,14,14,3.3,5.0,1.0,8.0,4.0,4.0
2017020808,0.0,0.0,0.0,-0.9,5.5,4.1,1,14,15,2.0,6.0,1.0,12.0,8.0,8.0
2017020809,0.0,0.0,0.0,1.9,7.2,6.5,6,14,16,1.6,5.9,1.7,16.0,16.0,4.0
2017020810,0.0,0.0,0.0,3.4,7.1,7.7,7,15,1,1.2,6.9,1.9,16.0,4.0,0.0
2017020811,0.0,0.0,0.0,5.6,8.2,9.0,7,14,1,2.3,8.1,2.1,4.0,12.0,8.0
2017020812,0.0,0.0,0.0,5.7,9.7,9.1,6,14,1,2.8,7.0,2.1,8.0,4.0,8.0
2017020813,0.0,0.0,0.0,7.6,10.4,9.6,8,15,1,1.5,6.5,2.6,12.0,32.0,8.0
2017020814,0.0,0.0,0.0,6.8,9.9,9.9,14,15,16,1.3,6.5,1.5,24.0,12.0,4.0
2017020815,0.0,0.0,0.0,8.3,9.9,9.6,6,16,2,0.8,3.5,2.4,12.0,32.0,0.0
2017020816,0.0,0.0,0.0,7.9,10.0,9.3,7,14,1,3.7,4.0,1.6,94.0,8.0,12.0
2017020817,0.0,0.0,0.0,6.8,9.3,8.1,5,15,1,3.0,2.0,1.3,8.0,32.0,20.0
2017020818,0.0,0.0,0.0,5.4,8.3,6.6,2,15,16,5.2,2.3,0.8,16.0,28.0,16.0
2017020819,0.0,0.0,0.0,4.3,8.3,6.5,2,15,1,4.4,0.6,1.1,8.0,45.0,20.0
2017020820,0.0,0.0,0.0,3.6,7.3,6.2,4,4,1,2.6,1.2,0.7,0.0,41.0,41.0
2017020821,0.0,0.0,0.0,2.3,6.7,5.9,3,5,1,1.9,1.4,0.9,4.0,41.0,8.0
2017020822,0.0,0.0,0.0,2.1,6.1,5.6,16,5,15,1.8,1.7,1.3,0.0,36.0,4.0
2017020823,0.0,0.0,0.0,1.1,5.9,5.0,16,3,16,2.7,0.8,0.9,0.0,8.0,4.0
2017020824,0.0,0.0,0.0,1.0,5.6,4.9,16,15,1,2.2,2.3,1.0,0.0,8.0,4.0
2017020901,0.0,0.0,0.0,0.9,5.3,4.6,1,16,16,1.7,1.9,0.8,0.0,20.0,4.0
2017020902,0.0,0.0,0.0,1.4,5.3,4.3,1,16,1,2.4,2.2,1.5,0.0,16.0,16.0
2017020903,0.0,0.0,0.0,1.5,4.9,4.3,1,16,1,2.6,1.7,1.2,4.0,16.0,4.0
2017020904,0.0,0.0,0.0,1.5,4.9,3.9,16,15,1,4.2,2.3,1.1,8.0,16.0,53.0
2017020905,0.0,0.0,0.0,1.7,4.5,3.2,4,15,1,1.3,2.0,1.2,0.0,24.0,295.0
2017020906,0.0,0.0,0.0,1.7,1.4,1.3,3,1,2,1.7,2.6,2.4,0.0,0.0,262.0
2017020907,0.0,0.5,0.0,0.7,1.7,0.9,3,2,1,1.1,4.6,1.3,176.0,-9998.0,295.0
2017020908,0.0,0.0,0.0,0.3,2.2,1.0,16,15,1,3.1,3.6,1.2,-9996.0,0.0,344.0
2017020909,0.0,0.0,0.0,-0.3,2.8,1.8,1,15,1,4.2,2.9,0.8,-9996.0,0.0,4.0
2017020910,0.5,0.0,0.0,0.2,3.1,2.3,1,15,1,3.4,3.1,1.7,-9998.0,0.0,8.0
2017020911,0.0,0.0,0.0,1.0,3.0,2.5,1,1,1,3.6,2.2,1.7,213.0,4.0,0.0
2017020912,0.0,0.0,0.0,1.2,3.6,2.5,1,1,2,4.6,1.7,1.9,24.0,8.0,0.0
2017020913,0.0,1.0,0.0,1.2,3.6,1.7,16,1,15,4.5,2.6,1.2,364.0,0.0,0.0
2017020914,0.5,0.5,0.5,1.5,3.4,1.5,16,15,15,4.2,2.2,0.8,-9998.0,0.0,-9998.0
2017020915,0.0,1.0,1.0,1.9,2.9,1.0,1,16,15,3.1,2.7,1.4,24.0,-9998.0,-9998.0
2017020916,0.0,1.0,1.5,1.8,2.6,0.9,1,15,15,3.8,3.3,0.9,0.0,-9998.0,-9998.0
2017020917,0.5,1.0,1.0,1.4,2.0,0.6,1,15,14,4.5,3.6,1.3,-9998.0,-9998.0,-9998.0
2017020918,0.5,0.5,0.5,1.5,1.7,0.9,1,15,14,4.7,4.1,2.1,-9998.0,-9998.0,-9998.0
2017020919,0.0,1.0,1.0,1.3,1.6,1.0,16,14,14,5.2,3.3,1.8,0.0,-9998.0,-9998.0
2017020920,0.5,0.0,0.0,1.3,1.8,1.7,16,14,14,5.3,4.0,1.4,-9998.0,0.0,4.0
2017020921,1.0,0.5,0.5,0.8,1.7,2.2,1,14,13,4.5,3.8,1.2,-9998.0,-9998.0,-9998.0
2017020922,0.0,0.0,0.0,1.1,2.0,2.5,16,14,14,4.7,4.8,1.2,45.0,0.0,0.0
2017020923,0.0,0.0,0.0,1.2,2.2,2.6,1,14,13,5.0,4.0,0.3,0.0,0.0,0.0
2017020924,0.0,0.5,0.0,1.4,2.2,2.9,16,14,12,3.9,3.0,0.5,0.0,-9998.0,0.0
2017021001,0.0,0.0,0.0,1.7,2.6,3.0,16,13,0,3.9,3.4,0.2,0.0,0.0,0.0
2017021002,0.0,0.0,0.0,1.7,3.1,2.7,16,13,1,3.3,1.6,0.6,0.0,0.0,0.0
2017021003,0.0,0.0,0.0,1.7,3.3,2.0,1,14,4,4.0,0.9,0.6,0.0,0.0,0.0
2017021004,0.0,0.0,0.0,1.6,3.3,2.3,16,14,1,3.1,2.0,1.0,0.0,0.0,0.0
2017021005,0.0,0.0,0.0,1.6,3.2,2.1,16,14,1,2.9,2.1,1.0,0.0,12.0,0.0
2017021006,0.0,0.0,0.0,1.5,2.8,2.2,1,1,13,3.1,2.3,0.9,0.0,0.0,0.0
2017021007,0.0,0.0,0.0,1.3,2.8,2.2,16,15,13,2.0,3.0,0.6,0.0,0.0,0.0
2017021008,0.0,0.0,0.0,1.9,3.1,2.7,10,15,12,2.1,3.4,1.3,16.0,0.0,4.0
2017021009,0.0,0.0,0.0,4.2,5.1,5.6,10,15,15,1.8,3.4,1.3,0.0,0.0,16.0
2017021010,0.0,0.0,0.0,4.3,7.0,6.7,1,14,15,0.9,5.8,2.5,188.0,12.0,8.0
2017021011,0.0,0.0,0.0,7.0,8.8,8.2,8,14,15,3.4,10.5,3.3,12.0,4.0,8.0
2017021012,0.0,0.0,0.0,6.3,9.2,8.4,15,14,14,6.5,10.1,3.4,389.0,4.0,8.0
2017021013,0.0,0.0,0.0,5.8,9.3,8.0,16,14,15,7.9,7.2,2.2,12.0,8.0,8.0
2017021014,0.0,0.0,0.0,6.1,8.3,6.6,16,14,1,7.0,6.4,2.1,12.0,12.0,4.0
